job_title,company,location,salary,job_description
PHP Laravel Developer - Remote worker,Circle Group,"Manchester, Greater Manchester",£35000 - £40000 per annum + benefits,"Key Skills : PHP Developer, Laravelle, Zend, MySQL, HTML, CSS I'm working with an established Digital Software House who are HQ'd in Manchester and recruiting for a new PHP Developer to join their team as part of further expansion plans. The company have made a number of successful hires over the last 6 months and are continuing with their strength in a competitive marketplace with the addition of an experienced PHP Developer. As a PHP Developer you'll be working within a team of 8 helping build new systems and solutions for their client base, and work on existing applications to create new functionality and enhance existing features. * PHP * Laravel * MySQL * Zend * HTML, JavaScript, CSS As the team is currently home working, we are looking for an individual who is driven, goal orientated and is able to take ownership of their work."
"Graduate Database SQL Developer - Remote - £30,000",Ashdown Group Limited,"WA1, Warrington","£30,000","A wellestablished organisation is looking for a graduate with a passion for data / databases to join a growing team of Database Developers. This is a hybrid role split between the office in the Warrington area and working from home, some flexibility to work remotely if required. Reporting into the Technical Solutions Director, the successful candidate will be part of a team tasked with supporting, designing and executing large data projects for large well-established clients, such as creating automated extraction, transformation and loading (ETL) of data into systems (CRM, ERP or Data Lake platforms). In order to be suitable for this role you must be a strong IT graduate with some experience in database (RDBMS) design and development."
PHP Developer {software house},Ernest Gordon Recruitment,"Preston, Lancashire",£50000 - £60000 per annum + + Training + Progression,"Preston £50,000 - £60,000 + training + progression + company benefits Are you an experienced PHP developer looking for a new opportunity in a fast-growing software company with a well-earned reputation for innovation where you will help grow the company and ultimately become the head of development in the near future. On offer is an exciting opportunity for an experienced PHP Developer to work within the automation industry where you will be building bespoke software solutions for a range of well-known names in the industry. In this role, the successful PHP Developer will be collaborating with other experienced developers, to ensure project success, as well as troubleshoot, debug and optimise code base. The ideal candidate will have previous extensive experience working with PHP, and be an extremely driven individual who wants to excel in their career."
"C#.NET Developer - Remote - up to £55,000",Oscar Associates (UK) Limited,"Manchester, Greater Manchester",£45000 - £55000 per annum + Remote,".NET Software Developer - Remote - Up to £55,000 A new and exciting opportunity has arisen for an experienced and talented Software Developer for .NET Web Applications to join an industry- leading brand, specialising in providing modern and cutting-edge electoral software and services. The role is completely flexible when it comes to remote working. The company support the needs of all employees, and realise how valuable time is. They respect all employees to work from the comfort of their homes! The Company Join and work with hard working and dedicated employees, who are at the heart of the company. No employees hard work goes unrecognised, with every employee and their role being highly-valued and recognised as an important contributor to the company's success."
Web Developer,Morson Talent,"Simonstone, BB12 7ND",Market related,"Are you a junior web developer looking for an exciting opportunity to kickstart your career? Look no further! Are you looking for a business that allows you to have a say and not reject your ideas because you are less experienced? Within a team of developers, you'll have the opportunity to learn from a family-feeling team and develop your skills in a supportive and collaborative environment within a stable and growing business. So, if you're a driven junior web developer looking for a challenging and rewarding opportunity, we want to hear from you! Apply now Duties will be * Deliver software development for the Company's current software applications, designing customised front and back-end programs. * Investigate user needs and conduct research to pinpoint areas for enhancing existing services or creating new ones. Draft technical specifications for new features."
CAD CAM/ NC Programmer,Mercury Hampton Ltd,"BB18, Barnoldswick",Unspecified,* Role: CADCAM/ NC Programmer * Company: High Precision components into some of the worlds largest Aerospace businesses * Salary: Highly competitive salary with an excellent pension and benefits package. * Location: Barnoldswick This is a fantastic opportunity to work for a global precision engineering business who pride themselves on delivering high quality and innovative engineering solutions into critical industries. Recent investment and the development of market-leading products has created the need to appoint an experienced CADCAM/NC Programmer to join the team based near Barnoldswick.
Senior Cloud DevOps Engineer,Daniel James Resourcing Ltd,"Greater Manchester, M3","up to £80,000 plus benefits","Are you a skilled Cloud DevOps Engineer with experience in Azure and a passion for cutting-edge digital solutions? Do you have a strategic mindset and enjoy being an SME in the Public Cloud space? If so, we want to hear from you! As a Cloud DevOps Engineer, you will be working with a rapidly scaling Public Cloud & Identity Platform team that provides governance, standards, and platform engineering capabilities to deliver innovative solutions in the LegalTech sector. The team owns the Public Cloud platforms, including Azure, AWS, and Google, which provide services to various business functions within 'Information Technology. We are seeking a Principal Cloud DevOps Engineer to join this team and help design, build, develop, and support platforms that deliver cutting-edge digital solutions within our mainly Azure environments."
Mobile Engineer,Kier Group,"Stretford, M50 3XP",Competitive + benefits,"We're looking for a Mobile Maintenance Engineer to join our Corporate Estate Facilities Management Team based in the Northwest area. Within this role you would be working among a great team, providing planned PPM & reactive maintenance services to Kier properties in the North of England & Midlands. There is also monthly travel to Southwest England & South Wales. Locations: The North of England, Midlands. Occasional travel to Southwest England & South Wales. Contract: Permanent, Full Time Responsibilities As a Mobile Maintenance Engineer, you'll be working within the Corporate Estate Facilities Management Team supporting them in various areas. * Carrying out Planned Preventative Maintenance (PPM) activities, using a PDA to log PPM & Reactive jobs"
C# Mattersphere Developer SQL Case Management System,Applause IT Limited,"Liverpool, Merseyside","£30000 - £40000 per annum + reward scheme, health cover, discounts","£40,000 - Fantastic Benefits Package - Hybrid role with the ideal candidate based near Liverpool, Manchester, Warrington, Chester, Preston, Crewe or Bolton. An exciting opportunity for a Mid-Level C# Mattersphere Developer to work within a top law firm, to become an integral part of the Workflow Development team. Through offering exceptional employee culture that develops talent within an inspiring environment, the team are dedicated to delivering outstanding services to clients. Within this team, the successful Developer will help to build enterprise standard solutions both in a team and alone. As an experienced Developer, you will possess experience using Case Management Systems, ideally Mattersphere, in conjunction with SQL and C#."
Software QA / Test (Security Systems),Ernest Gordon Recruitment,"SK10, Macclesfield",£55000 - £65000 per annum + Company Benefits,"Software QA / Tester (Security Systems) Macclesfield / Hybrid 50% On Site £55,000 - £65,000 + Company Benefits Are you a Software QA that wants to join a well funded start up where you can shape and develop your own division? Do you want to build the team which is set to revolutionize the Smart Building / Security industry? On offer is the chance to join a rapidly growing and well-funded start-up, they have created next generation security systems that have a very simple user interface, this allows the product to be replicated and used across multiple sites, without the need of an expert to operate it making iot unrivalled in the industry and has created a huge amount of interest from potential customers."
Cloud Infrastructure Engineer,ITECCO Limited,"Manchester, Greater Manchester","£45000 - £50000 per annum + Pension,Progression","Salary: £50,000 Location: Manchester, City Centre My client are on the hunt for a well rounded Infrastructure Engineer with specific experience in the cloud. My client boasts a family feel office, great benefits and hybrid working. The successful candidate will be particularly experienced with On prem to Cloud migrations. The role will consist of exciting digital transformation projects, server upgrades and installations! My client operate as a small IT team, and you will be reporting to the IT manager and IT Director. * Strong knowledge of configuration and administration of On prem and Azure environments * Previous experience migrating from OnPrem to the cloud. * Windows Servers * Linux * Vmware/Vsphere/ HyperV * Strong Networking: LAN/WAN DHCP/DNS * Cisco switches * Firewall configuration * Antivirus software: Sophos * SQL server * PowerShell scripting"
Back End Developer (Security Systems),Ernest Gordon Recruitment,"SK10, Macclesfield",£65000 - £75000 per annum + Company Benefits,"Macclesfield / Hybrid 50% On Site £65,000 - £75,000 + Company Benefits Are you a Senior Back-End Developer that wants to join a well funded start up where you can shape and develop your own division? Do you want to build the team which is set to revolutionize the Smart Building / Security industry? On offer is the chance to join a rapidly growing and well-funded start-up, they have created next generation security systems that have a very simple user interface, this allows the product to be replicated and used across multiple sites, without the need of an expert to operate it making iot unrivalled in the industry and has created a huge amount of interest from potential customers."
Software QA / Test (Security Systems),Ernest Gordon Recruitment,"SK10, Macclesfield",£55000 - £65000 per annum + Company Benefits,"Software QA / Tester (Security Systems) Macclesfield / Hybrid 50% On Site £55,000 - £65,000 + Company Benefits Are you a Software QA that wants to join a well funded start up where you can shape and develop your own division? Do you want to build the team which is set to revolutionize the Smart Building / Security industry? On offer is the chance to join a rapidly growing and well-funded start-up, they have created next generation security systems that have a very simple user interface, this allows the product to be replicated and used across multiple sites, without the need of an expert to operate it making iot unrivalled in the industry and has created a huge amount of interest from potential customers."
FullStack PHP Developer - Stockport,Senitor Associates Limited,"Stockport, Greater Manchester",£35000 - £50000 per annum,"I am looking for an experienced FullStack PHP Developer with at least 2 years commercial experience of development. The ideal candidate would be skilled in an MVC Framework such as Laravel or Symfony and would have also used JavaScript Frameworks such as React, Vue or Angular (although candidates without these skills would be considered). The position is for a company creating a bespoke product used by Ecommerce companies across the UK, with over 1000 customers. They are in a huge period of growth and after starting trading 3 years ago the team has doubled every year, now to a team of 45, including 9 developers. This is a very exciting time to join the company, as the growth potential is huge following a 7-figure investment earlier this year. * PHP * JavaScript * MVC Framework eg Laravel / Symfony * JavaScript Frameworks eg Vue / Angular / React * MySQL * Sass"
"Front End Developer (WPF, Security)",Ernest Gordon Recruitment,"SK10, Macclesfield",£65000 - £70000 per annum + Company Benefits,"Front End Developer (Security Systems, WPF) Macclesfield / Hybrid 50% On Site £65,000 - £70,000 + Company Benefits Are you a Front-End Developer that wants to join a well funded start up where you can shape and develop your own division? Do you want to build the team which is set to revolutionize the Smart Building / Security industry? On offer is the chance to join a rapidly growing and well-funded start-up, they have created next generation security systems that have a very simple user interface, this allows the product to be replicated and used across multiple sites, without the need of an expert to operate it making iot unrivalled in the industry and has created a huge amount of interest from potential customers."
IOS Engineer,Ultimate Performance Fitness,"M1, Manchester","From £60,000 to £70,000 per annum","Location- based in the heart of Manchester Salary- £60-£70k Hours: Full-time, Monday - Friday 9am - 5:30pm, hybrid (2 days a week in the office) Our mission-Ultimate Performance (U.P.) has forged a reputation as the worlds foremost body transformation experts, delivering exceptional client results under the mantra maximum results, minimum time. Our vision is to empower everyone across the world to live healthier lives. The business has grown to become the worlds only truly international personal training company, with 22 private personal training facilities across the globe and growing. But U.P. is more than just a gym. We operate world-leading online and virtual personal training, training camps, meal preparation services, as well as develop a range of premium, results-focused supplements."
"Cloud Engineer (IoT, Security Systems)",Ernest Gordon Recruitment,"SK10, Macclesfield",£65000 - £75000 per annum + Company Benefits,"Azure Cloud Engineer (Security Systems) Macclesfield / Hybrid 50% On Site £65,000 - £75,000 + Company Benefits Are you a Cloud Engineer that wants to join a well funded start up where you can shape and develop your own division? Do you want to be part of the team which is set to revolutionize the Smart Building / Security industry? On offer is the chance to join a rapidly growing and well-funded start-up, they have created next generation security systems that have a very simple user interface, this allows the product to be replicated and used across multiple sites, without the need of an expert to operate it. This company has been exhibiting their product for the last 12 months and generated a huge amount of interest, with investment secured already they have multiple offers for additional funding and order requests already based on the Proof of Concept."
Automated Software Tester,Applause IT Limited,"Wythenshawe, m22 9jh",£40000 - £45000 per annum,"Automation Test Analyst - Java, Selenium, Postman, SQL Manchester / hybrid working - MUST BE UK BASED, NO SPONSORSHIP AVAILABLE - £45 ,000 Applause IT is partnered with a well-established name within financial services to recruit a new Automation Test Analyst with some decent commercial experience (around 3 years) and a desire to automate everything. You'll be working closely with our head of test to understand our systems and processes before rolling up your sleeves and being part of our push to get as close to 100% automation as possible."
Full Stack Developer - Leading Online Retailer,Applause IT Limited,"Foxhill Bank, BB5 0BA",£45000 - £55000 per annum,"Full Stack (Java/React) Developer - Java, React, Spring, Spring Boot, Docker, Kubernetes + Accrington / Hybrid Working - £45,000 - £45,000 + Applause IT are recruiting for an experienced Full Stack Developer to join one of the largest online value retailers in the UK. You will be joining an established and reputable business that has been in operation for over 50 years and provides services to around 1.8 million customers per year. You will play a pivotal role in shaping product features by collaborating with Product Owners and Project Managers to turn vision into reality. * Experience in Java, Spring, Spring Boot * Web Development experience (HTML, CSS, JSP) * Experience in React / React Native We can not offer sponsorship for this opportuntity If you have the skills and drive to make a difference then APPLY NOW or email to find out more."
Development Team Lead - C# / .Net,Senitor Associates Limited,"Bury, Greater Manchester",£60000 - £75000 per annum + Excellent Benefits,"Development Team Lead - North Manchester 1 day a week - C# / .Net I am currently looking for an experienced Software Development Team Lead to join a forward-thinking company who are in the automotive sector. As Software Team Lead, you will be working in an Agile way and leading your team of engineers to deliver outstanding solutions, covering the full SDLC. You must be comfortable in a position that is hands-on as well as covering the line management of the team, and experience in this type of role would be a huge advantage. Your role will be very technical with at least 80% of the role being hands-on but they're looking for someone who already has experience of managing at least 1 direct report as you'll have 5 direct reports in this role. * Hands-on Development * Coordinating software development within your team * Line management"
Node.js Developer,Chroma Recruitment Ltd,"M2, Manchester",£40000 - £50000 per annum,"Chroma are currently recruiting for a Developer to join a fast-growing digital agency. They design high performance eCommerce websites for some major brands in the retail sector and have doubled in size in the last 18 months to 140 staff and have further plans to grow. This role is 100% remote based so can work anywhere in world as long you have a Wi-Fi connection! Benefits of the role include 100% remote working, flexible hours, 25 days holiday rising with each year of service, training and development programmes for everyone, private healthcare, pension etc. Day to day, youll spend the majority of your time working on delivering projects working in a Scrum team. Alongside this they always dedicate time to personal development and training."
Android Engineer,Ultimate Performance Fitness,"M1, Manchester","From £60,000 to £70,000 per annum","Location- based in the heart of Manchester Salary- £60-£70k Hours: Full-time, Monday - Friday 9am - 5:30pm, hybrid (2 days a week in the office) Our mission-Ultimate Performance (U.P.) has forged a reputation as the worlds foremost body transformation experts, delivering exceptional client results under the mantra maximum results, minimum time. Our vision is to empower everyone across the world to live healthier lives. The business has grown to become the worlds only truly international personal training company, with 22 private personal training facilities across the globe and growing. But U.P. is more than just a gym. We operate world-leading online and virtual personal training, training camps, meal preparation services, as well as develop a range of premium, results-focused supplements."
Senior IP Core and DC Design Engineer - UK Remote,ASPIRECOM LIMITED,"M1, Manchester","Unspecified £70-75,000 PLUS 10% BONUS AND BENS","Expanding IP network service provider with a large UK network that is expanding out into Europe is looking to recruit a Senior IP Design Engineer to lead the HLD/LLD of core IP MPLS BGP, edge, data centre and IP network services. This is a varied role where you will be focussing on the architecture and design of services covering IP core, data centre upgrades - spine/leaf, firewall, automation and edge networking services. Vendors include Juniper, Cisco, Nexus, Fortinet, Palo Alto etc. The role is to develop HLD's into detailed LLD's and then hand off into testing before they are deployed into the network infrastructure. Knowledge of cloud ecosystems such as AWS, Openstack would be beneficial. This is a fully remote role based in the UK."
Cloud Developer,Newton Blue,"M11, Manchester","Up to £40,000 per annum plus excellent benefits package","Newton Blue is the on-site recruiter for a number of the UK's leading healthcare and tech Co's. We're currently recruiting for twoambitious and driven Graduate Cloud Developers to work remotely forone of the UKs leading healthcare Tech Cos, delivering innovative solutions for the NHS, GP Practices, Dispensing Pharmacies and Healthcare Data research. Their solutions, and the work you would be doing, play a pivotal role in helping the NHS deliver a better service, improving patient outcomes and the health of the UKs population. This is a fantastic opportunity to work in a highly productive, self-organising SCRUM team, responsible for innovating on the Public Cloud to help them deliver their next generation healthcare systems."
Technical Sales Engineer/Applications Engineer,Envair Limited,"OL10, Heywood","Up to £35,000 per annum","Part of Envair Technology, TCS (Total Containment Solutions) has been manufacturing world class fume cupboards and extraction systems for chemistry laboratories and schools since 2004. Our mission is to engineer controlled environments that keep people and products safe from airborne hazards. Our products are used to test and understand chemical compounds and raw materials, that are used in new medicines, drug therapies and even electric car batteries. It means youll always finish the day feeling youve contributed to something really valuable, supporting research into beating diseases like cancer or Alzheimers. Weve enjoyed strong growth in demand for our products for the last few years, and as industry leaders, are always looking to bring new innovations to the market."
Head of Software Engineering,Adria Solutions,"M1, Manchester",£90-125K,"Our growing client based in Manchester City Centre is currently looking for a Head of Software Engineering. Working closely with the CTO you will be leading the engineering squads, overseeing the technical direction of projects whilst working with Technical Leads, Squad Leads, Senior Engineers, Product Owners, and QAs to coordinate technical initiatives and drive best practices. * Providing leadership across several Squads within the engineering team * Building an inclusive and diverse engineering culture that people want to be a part of * Helping Tech/Squad Leads and Senior Engineers to become high performers via personal & professional development: listen to them, support them when things are hard, and celebrate their successes * Structuring Squads, spotting and filling gaps with an eye to future workloads and capabilities"
FrontEnd Developer - REMOTE - React / JavaScript / Ecommerce,Senitor Associates Limited,"Manchester, Greater Manchester",£35000 - £55000 per annum,"New role with a fast-growing E-commerce Agency, who are currently going through a full digital transformation. They are a UK based agency, with people working fully remotely, but also very focussed and connected to their employees' culture and wellbeing. The role would be working within their Software as a Service team, creating software and websites for Ecommerce companies, so experience with FrontEnd Web Development is a must have. You will be working within a team of specialist developers, mostly with a Tech stack focussed around BigCommerce, React and Node. The company are looking for someone with at least 3 years of FrontEnd focussed web development, however if you do not have experience with React then you will still be considered for the position, as strong JavaScript experience will be considered."
Senior .NET Developer,Peaple Talent,"Newton-Le-Willows, Merseyside",£45000 - £55000 per annum + Hybrid,"Peaple Talent hare partnered with a leading UK-based company in the fast-fit industry with over 300 staff and a turnover in excess of £100 million. Their passion for constant improvement and innovative IT systems have allowed them to extend our services across the whole of the Northern region and North Wales. They are currently seeking an experienced Senior .NET Developer to join our dynamic team at our Head Office in Newton-le-Willows on a hybrid basis. * Proven 4-5 years of experience as a .NET Developer or backend developer. * Familiarity with the ASP.NET framework. * Deep understanding of C# for .NET and familiarity with architecture styles/APIs (REST, RPC). * Experience working with databases (SQL) and using ORMs for CRUD operations. * Experience with deploying applications (IIS, Docker) and knowledge of microservices (Docker, Containers)."
Electrical Design Engineer,GPW Recruitment,"M1, Manchester",£40000 - £45000 per annum + 25 days holidays + 4.5% pension + benefits,"Job title: Electrical Design Engineer Location: Manchester Duration: Permanent Start date: ASAP Salary: £40,000 to £45,000 + great benefits GPW are seeking an Electrical Design / Software Engineer for a niche manufacturer based in Manchester, their product range is impressive and sold across the world. The Electrical Design / Software Engineer will be responsible for the design of control and drive systems complying with the specification requirement, preparing electrical drawings of the control and drive systems, development, testing and verification of PLC controller programmes against the specification requirement. * Design and development * Demonstration and test * Maintenance and backup * Change control * Value Engineering and budget control * Project and Production Control"
Senior C# Developer - 55k + Share Options,Oscar Associates (UK) Limited,"Manchester, Greater Manchester",£50000 - £55000 per annum + Share Options,"Senior C# Developer - Wigan / Hybrid - £55,000 + Share options The role We are looking for a senior C# developer to join a small, welcoming team in a well-established business. Whether you are ready to take a step up or are already in a Senior position this is a good position to you! You will be working on a brand-new data management SaaS product from the ground up, with a suite of features; no need to maintain legacy code! Your responsibilities * Leading in technical design and implementation within a small team of developers of a brand-new SaaS product. * Designing microservice systems by decomposing high-level business requirements into lower-level design. * Developing the agreed designs and supporting their use in pre-production and production systems. * Working with front-end developers to shape REST APIs and BFFs."
".NET Developer, C# - Mobile Telecommunications - Manchester",Noir,"City Centre, M2 5DB",£60000 - £80000 per annum + Bonus + Pension + Benefits,".NET Developer, C#, WPF - Mobile Telecommunications - Manchester (Tech stack: .NET Developer, C#, WPF, Server 2019, MVVM, Prism, TDD, Agile, Programmer, Engineer, Architect, .NET Developer) Established in the early 1990s and listed on the London Stock Exchange our client is an instantly recognizable brand within the mobile telecommunications arena. They are now looking to extend their brand beyond mobile with the launch of several new products. As such they are looking to recruit 6 .NET Developer to help design and develop the .NET / C# software applications that will be the backbone of this exciting new generation of products and services. The ideal .NET Developer candidates will have a skill set that encompasses: .NET, C#, WPF and SQL Server."
.NET Developer - Fastest-Growing Internet Co Ever - Manchester,Noir,"City Centre, M2 5DB",£50000 - £70000 per annum + Bonus + Pension + Benefits,"(Tech stack: .NET Developer, .NET 7, C#, Azure, Angular 14, Multithreading, RESTful, Web API 2, JavaScript, Programmer, Full Stack Engineer, Architect, .NET Developer) Our client is changing the way merchants and consumers connect with each other worldwide, and the change has barely started. In 2019, they were the fastest-growing internet company ever, and they drove more than £4 billion in revenue to local businesses. As they continue to evolve, their vision is to become the operating system for local commerce by providing an integrated suite of tools and services for local businesses to help them understand their customers better, compete effectively, and increase profits. To help them on this mission, they are looking for .NET Developer to work on the development of complex Greenfield software applications."
Sales Executive,Centric Talent,"Manchester, Greater Manchester, M1 3BN",£65000 - £120000 per annum,"Sales Consultant Manchester basic up to £80k OTE y1 £120k Fantastic Opportunity !!! Centric Talentislooking for a talented and experienced Sales Consultants join our client who are a market leading software development business who partner with multiple blue chip brands across the UK and Europe. To be considered for this role you must be a tenacious new business hunter who is confident building relationships and providing solutions to c-suite level prospects and customers to include CTO, Product directors, software engineering directors. The role will involve the end-to-end relationship cycle of new business wins selling a unique software solution with a managed service support package to companies with a £50 - £500 million turn over average deals to the value of £350k. Some of the duties that will be required for this role will include: -"
Business Analyst,Tech 4,"PR6, Chorley","From £50,000 to £65,000 per annum + excellent benefits","Based remotely with weekly visits to the office in Chorley (Lancashire). You will help to define and deliver an exciting digital transformation programme of work, to standardise and harmonise business processes across CRM, E-commerce and Order Management. The primary focus initially will be on the end to end Business and Customer CRM processes, championing design standardisation and best practices, with an appreciation of related applications in the context of the customer journey. Key responsibilities and accountabilities * Lead workshops with business stakeholders to confirm requirements * Documenting Business Process Clearly communicates business requirements to the team/wider business * Responsibility for creating Epics, User Stories or Functional Specifications Overall responsibility for Product Backlog grooming/User Story prioritisation"
BI Developer,Adria Solutions,"M1, Manchester","£45,000","On behalf of our marketing leading client, we are looking for an experienced BI Developer near Manchester. You will be working with a wide range of stakeholders to create dashboards, reports, and data sets that meet business needs. You will play a key role in delivering the BI strategy using the latest data visualisation tools and techniques. * Create dashboards and reports. * Ability to manipulate and structure data in SQL. * Strong Interpersonal skills, able to build relationships, with stakeholders. * Good communication skills, able to clearly articulate complex problems to a non-technical audience. * Calm under pressure, manage tight deadlines and prioritise effectively. * Can take an analytical approach and solve complex problems. * Superb attention to detail is required, and critical business decisions are based on reports and insights provided by the BI team."
Junior / Mid Full Stack Developer,Senitor Associates Limited,"Bradford, West Yorkshire",£25000 - £35000 per annum + Excellent benefits,"Due to winning a new deal, this client is looking for a Junior / Mid Full Stack Developer to join their small but growing IT team. The company's development resources will increase as they will be rolling out their software to over 13,000 locations around Europe so the role will very past paced, and will vary from day to day! This role is ideal for Developers who can see the bigger picture, and want to be involved in exciting and new products in Web, Android and iOS. The company has been around for over 50 years, and have recently taken their products commercial which means the company is fast growing and show no signs of slowing down! They are looking to take a blended approach to home working and will be offering a 50/50 split between home and office. * C# * .Net Frameworks * MVC * SQL Server * Any of the JavaScript frameworks * Mobile Development * Data Integration"
Software Engineering Team Lead - JavaScript/web - AWS - TV,Develop Group Ltd,"Salford, Greater Manchester",Up to £75000.00 per annum,"We are looking for a Software Engineering Team Lead to help us expand our Node.js backend team for app teams in London. You will have a leading role in an engineering team responsible for Mobile News that delivers an intuitive and engaging experience to millions of audience members every day. We want the BBC to be as renowned for the quality of its engineering as it is for the quality of its content. We aspire to be the best so that we can engineer outstanding digital products, at scale. Working here in an engineering role means being part of a world-class team and a chance to do the most meaningful work of your career The BBC's digital products play a key role in our mission to inform, educate and entertain the audience. We are looking for Software Engineering Team Leads to join the team."
IT Business Analyst,Ascent People,"Prescot, Merseyside",£50000 - £55000 per annum + Bonus + Benefits,"Business Analyst, Hybrid working - Liverpool PLEASE NOTE: This role requires you to work 3 days a week in the office in Liverpool and 2 days a week at home. My client, an exceptional company to work for, is looking for an experienced Business Analyst to join their team. The role is a brand new role within the company and holds a lot of autonomy in the department. The primary duties of the Business Analyst would include; * Represent the IT Team to maintain effective working relationships with internal and external customers. * Requirements gathering from all business areas. * Detailed documentation of Functional Specification * Run and manage effective workshops to gather and present requirements. * To System Test and manage the UAT of changes from 3rd parties and in house development to ensure that they satisfy business requirements"
ASP.Net C# Developer - Home Based,VERTECH GROUP (UK) LTD,"BB1, Blackburn","From £50,000 to £60,000 per annum + Benefits","ASP.Net C# Developer Location:Home Based Salary:Circa 50K 60K + Benefits ASP.Net C# Developerrequired by well-established, global Top Tech Company! This is a diverse, challenging Lead ASP.Net C# Developer role in a talented team where youll be responsible for a variety of cutting-edge projects involving the full project lifecycle * Solid skills in ASP.Net, C# * HTML5, CSS3, JavaScript * JavaScript frameworks such as Angular, React or Vue * SQL Server (T-SQL, stored procedures, SSRS) * Agile * Experience in iOS development (or willing to learn) Tremendous opportunity offering plenty of scope for career progression in a friendly, innovative environment where youll be able to keep up-to-date with the latest technologies and enjoy a healthy work/life balance! Apply now for FULL details!"
Senior C# Developer - Wigan,Oscar Associates (UK) Limited,"Wigan, Greater Manchester",£50000 - £55000 per annum + Share Options,"The role We are looking for a senior C# developer to join a small, welcoming team in a well-established business. Whether you are ready to take a step up or are already in a Senior position this is a good position to you! You will be working on a brand-new data management SaaS product from the ground up, with a suite of features; no need to maintain legacy code! Your responsibilities * Leading in technical design and implementation within a small team of developers of a brand-new SaaS product. * Designing microservice systems by decomposing high-level business requirements into lower-level design. * Developing the agreed designs and supporting their use in pre-production and production systems. * Working with front-end developers to shape REST APIs and BFFs. * Wrangling data - including SQL and No-SQL databases."
Software Architect,The University of Law,UK,"Up to £65,000 per annum","Location:Homeworker/Remote working Salary:up to £65,000 Package:We offer an excellent range of competitive benefits including a generous annual leave allowance, private medical scheme, contributory pension scheme, life assurance, training and qualifications, and travel loans. The University of Law (ULaw) is one of the UK's longest-established specialist providers of legal education. With an alumni network in excess of 71,000, weve trained more practising lawyers in the UK than anyone else We are looking to recruit aSoftware Architectto join The University of Law to enhance our existing team. Working remotely, you willbe responsible for designing and implementing software solutions to meet the needs of the University. The ideal candidate will have a strong background in software development, architecture, and design as well as excellent communication skills."
Lead Developer,Oscar Associates (UK) Limited,"Manchester, Greater Manchester",£70000 - £70001 per annum,"Software Engineer | NodeJS, Typescript, AWS| £60,000 Europe's leader in travel and leisure are hiring a Software Engineer to join their growing team. As a Software Engineer, you will be building new features and functionalities for their existing platform as well as migrating legacy code to a more contemporary architecture. You will be working in a collaborative team where you will be involved in all of aspects of the software development life cycle including writing server side NodeJS code, developing new user interfaces, designing and delivering new features, and being involved in architectural decisions. * NodeJS, Typescript * AWS * SQL * Kubernetes * CI/CD * React (advantageous) Europe's leading holiday provider, offering a range of products and services to their global customer share."
NMC Cyber Security Engineer,Police Digital Services,"Chapel House, WN8 8AD",Competitive,"Join Police Digital Service as NMC Cyber Security Engineer Why Join us? * Balance is important and we want you to take time off to recharge - we offer 28 days' annual leave plus bank holidays, rising to 30 days after 5 years of service. Holiday Purchase also available * Flexible working hours - We trust you to do your job and we appreciate that life doesn't always fit around a 9 to 5 workday. We operate core hours of 8 to 6, Monday to Friday (37hr week) * We care about your well-being - we have an EAP that offers not just welfare benefits but also retail discounts * Plan for the future - we offer an excellent pension scheme and life assurance cover * Put your mind at rest regarding your health - offering remote GP, mental health and physiotherapy appointments via video consultation * Family - Enhanced maternity and paternity pay along with a flexible return to work"
"Senior .NET Developer (.Net Core, Azure)",Talos,"Westbrook, WA5 8WD",£45000.00 to £55000.00 per year Superb Benefits and Remote Working,"Over the past ten years, Talos360 has firmly established itself as a market leader in talent software solutions and online recruitment media with our innovations in the HR software space, Talos ATS & Talos Engage solving todays talent challenges. We support over 600 companies UK wide and are growing quickly. We are a SaaS technology business, with massive growth plans and investment. We need people who are passionate, problem-solvers who are excited by technology and innovation, and not afraid to wander off the beaten track in search of novel ideas. We now have a brand new vacancy for a Senior .NET Developer (.Net Core, Azure) to play a vital role in delivering cloud based SAAS solutions. As the Senior .NET Developer (.Net Core, Azure) you will be hands on in developing an ATS platform utilising modern web technologies (.NET 6, Angular 14)."
Senior .Net Developer,Formula Recruitment Limited,"CW9, Northwich","Up to £65,000 per annum","Location Hybrid 2 days a week on-site (Stockport) A leading player in the European travel industry is seeking an enthusiastic Senior .Net Developer to join their fast-growing team. As a member of a tight-knit, like-minded group, you will have the opportunity to work in a motivated and driven atmosphere while utilising cutting-edge technology stacks with a real focus on career development. As Senior .Net Developer you will join their team in a Polyglot environment with a focus on .Net. You will be working with robust foundations and industry best practices in web technologies, whilst being given the autonomy to drive technical direction. -Experience with backend architecture and software patterns (.Net 6) -Familiarity with databases and linux based systems -APIs (REST) -Modern development tools (docker, git, github) -Agile working practices (Jira)"
